               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.020341,           0.0074607,           0.0045901,             0.74825,             0.83448,             0.87379,             0.58752,            0.026968,           0.0028265,            0.020702,            0.003664,            0.003664,            0.003664
                 130,            0.020048,           0.0065523,           0.0039761,             0.77985,             0.82213,              0.8758,             0.65348,             0.02163,           0.0027628,             0.01888,           0.0036145,           0.0036145,           0.0036145
                 131,            0.021308,            0.006728,           0.0033266,             0.85088,             0.73947,               0.856,             0.65875,            0.020341,           0.0027463,            0.022132,            0.003565,            0.003565,            0.003565
                 132,            0.020405,           0.0062117,           0.0035993,             0.85608,             0.73947,             0.84931,             0.64017,             0.02025,           0.0027425,            0.023221,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019367,           0.0062258,           0.0071614,             0.85224,             0.73947,             0.85645,             0.62068,            0.022499,           0.0028102,            0.024755,            0.003466,            0.003466,            0.003466
                 134,            0.020117,           0.0061847,            0.002879,             0.86609,             0.73676,             0.83378,             0.61784,             0.02041,           0.0027547,            0.026608,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019056,           0.0063765,           0.0034258,             0.81376,             0.73947,             0.76782,             0.57104,            0.019949,           0.0026423,            0.029349,            0.003367,            0.003367,            0.003367
                 136,            0.020282,           0.0061075,           0.0031106,             0.82585,             0.73947,             0.74589,             0.55943,            0.020299,           0.0026727,            0.029049,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018693,            0.006407,           0.0045845,             0.82658,             0.73947,             0.73773,             0.53944,            0.020383,           0.0027013,            0.028831,            0.003268,            0.003268,            0.003268
                 138,            0.018628,           0.0068218,           0.0030909,             0.82618,             0.73947,             0.75758,             0.52225,             0.02239,           0.0027208,            0.028295,           0.0032185,           0.0032185,           0.0032185
                 139,            0.020744,           0.0064998,           0.0036672,              0.8198,             0.73947,             0.76309,             0.57771,            0.019111,           0.0026693,            0.027984,            0.003169,            0.003169,            0.003169
                 140,            0.019863,           0.0076275,           0.0032124,             0.81129,             0.73746,             0.79546,             0.58495,            0.020848,           0.0026996,            0.027452,           0.0031195,           0.0031195,           0.0031195
                 141,            0.018388,           0.0068029,           0.0038602,             0.80504,             0.74068,              0.8169,             0.55744,            0.021458,           0.0027466,            0.026844,             0.00307,             0.00307,             0.00307
                 142,             0.02065,           0.0061886,           0.0039357,             0.81892,             0.72761,             0.83099,             0.55082,             0.02263,           0.0028045,            0.025663,           0.0030205,           0.0030205,           0.0030205
                 143,            0.019545,           0.0064935,           0.0032176,             0.83147,             0.72913,             0.84952,             0.60389,            0.022429,           0.0027869,            0.023491,            0.002971,            0.002971,            0.002971
                 144,             0.01855,           0.0061413,           0.0034575,             0.82124,             0.73947,             0.86137,             0.62354,            0.020399,           0.0027957,            0.022308,           0.0029215,           0.0029215,           0.0029215
                 145,            0.017446,           0.0059294,           0.0026441,             0.83238,             0.76579,             0.87097,             0.62856,            0.021072,           0.0028403,            0.021078,            0.002872,            0.002872,            0.002872
                 146,            0.018455,           0.0060754,           0.0032607,             0.84126,             0.76579,              0.8678,              0.6079,            0.023943,           0.0028851,             0.02055,           0.0028225,           0.0028225,           0.0028225
                 147,            0.019422,           0.0066785,           0.0025359,              0.8772,             0.76477,               0.868,             0.66058,            0.020235,           0.0028052,            0.020186,            0.002773,            0.002773,            0.002773
                 148,            0.018519,           0.0064637,           0.0031278,             0.88406,             0.76546,             0.86925,             0.62559,            0.021229,           0.0028012,            0.020432,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017056,            0.006107,           0.0034474,             0.89302,             0.76029,             0.86215,             0.62953,            0.021463,           0.0028331,            0.020856,            0.002674,            0.002674,            0.002674
                 150,            0.018719,           0.0062291,           0.0033264,             0.85429,             0.75961,             0.86354,             0.66525,            0.020235,           0.0028045,            0.022319,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018054,           0.0066245,           0.0033327,             0.84539,             0.76177,             0.84379,             0.64841,            0.018955,           0.0027812,             0.02412,            0.002575,            0.002575,            0.002575
                 152,            0.018984,           0.0056204,           0.0049458,             0.81706,             0.76579,             0.84316,             0.64773,            0.018206,           0.0027506,            0.024758,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01699,           0.0056958,           0.0084448,             0.78838,             0.76579,             0.83764,             0.63348,            0.018514,           0.0027318,            0.026056,            0.002476,            0.002476,            0.002476
